sample_id,n_sites,n_defects,defect_density,defect_strength,defect_sites,mean_defect_distance,clustering_index,mean_energy,energy_gap,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
882,40,9,0.225,0.7330738232167535,0;3;19;21;22;25;28;29;38,4.75,0.17391304347826086,0.16494161022376955,0.1686295996239453,4.350381675372868,0.06777410323521084,0.20633212536990878,0.7735303464831684
883,40,4,0.1,2.838207813197013,2;8;13;24,7.333333333333333,0.12000000000000002,0.28382078131970123,0.19816332798294392,5.442961693745297,0.13492617890488529,0.6818188015582688,0.8097650022180156
884,40,7,0.175,0.8870921248958765,3;5;9;12;24;26;33,5.0,0.16666666666666666,0.15524112185677835,0.1453353272760212,4.281346393910882,0.07635108138258151,0.24089486207708732,0.7991362415215473
885,40,5,0.125,0.6440858971062049,12;14;32;34;37,6.25,0.13793103448275862,0.08051073713827565,0.11631123241398203,4.194234995416391,0.05547804509235206,0.17233693515742993,0.8471144416089224
886,40,1,0.025,1.0101496249910864,13,0.0,,0.0252537406247771,0.14999478906123823,4.228034860479281,0.04969676634083681,0.27124013103069466,0.9304950301514662
887,40,3,0.075,0.9479708745134103,8;12;23,7.5,0.11764705882352941,0.07109781558850582,0.13736922530631246,4.238383259482421,0.0670779246137683,0.2528972471583852,0.8755969960089924
888,40,10,0.25,2.312305481726224,2;11;13;16;19;28;33;34;37;39,4.111111111111111,0.1956521739130435,0.578076370431556,0.11883084599841254,5.516579782576946,0.20767799701742523,0.604033867075733,0.6860225660578767
889,40,4,0.1,0.20160456427227721,4;5;13;16,4.0,0.2,0.020160456427227767,0.15360433352284142,4.021104691672032,0.03958651705073651,0.05545446167686328,0.8775112595996764
890,40,11,0.275,2.473593581095664,2;3;9;15;18;21;22;24;32;33;36,3.4,0.22727272727272727,0.6802382348013077,0.01983512906274776,5.66572997601828,0.21062788201053068,0.6209117306566636,0.6731160690432649
891,40,6,0.15,0.5832113485549099,9;12;18;21;23;39,6.0,0.14285714285714285,0.08748170228323646,0.13756801294661183,4.165242361795791,0.05445527322560062,0.12172270892553103,0.8302508380588864
892,40,10,0.25,3.006887094593028,0;14;15;18;21;28;29;31;35;36,4.0,0.2,0.7517217736482571,0.29284330083928706,6.235761026630649,0.223771444695359,0.8008239911424462,0.6785312631747377
893,40,10,0.25,2.648577288836451,8;12;15;22;23;25;27;31;32;39,3.4444444444444446,0.22499999999999998,0.6621443222091127,0.33013370126646113,5.844204137244101,0.22036437170378909,0.7504584214853842,0.6801035302842975
894,40,2,0.05,3.0295830466705187,10;28,18.0,0.05263157894736842,0.1514791523335258,0.22880184222724362,5.6019569126160915,0.09275925230774495,0.35395228052681466,0.875074953871999
895,40,2,0.05,2.0840088704853033,23;30,7.0,0.125,0.10420044352426516,0.21150879277208057,4.874505190075577,0.0765830643763464,0.277463294249718,0.8876398302273253
896,40,7,0.175,2.9199772411760745,6;7;9;11;12;20;36,5.0,0.16666666666666666,0.510996017205813,0.019681416354016823,6.196525851099423,0.16568717591931223,0.6939011292022931,0.7458861529829267
897,40,12,0.3,1.5922541646398227,0;1;8;16;21;24;25;31;32;33;37;38,3.4545454545454546,0.22448979591836732,0.47767624939194686,0.1610145738895698,5.084608397571439,0.1548198595092929,0.4195589303243808,0.6873703252423963
898,40,10,0.25,1.9611596027220022,23;25;26;27;31;32;34;35;37;39,1.7777777777777777,0.36,0.4902899006805005,0.16217239277029005,5.5365479989641395,0.1263369027927125,0.42574012442700143,0.7265662919964648
899,40,4,0.1,1.491490408879694,5;10;21;36,10.333333333333334,0.08823529411764705,0.14914904088796935,0.12024013123950784,4.484112443113652,0.0984720243541837,0.4154171183445001,0.8343957803594676
900,40,5,0.125,2.1976010035462354,6;15;17;21;28,5.5,0.15384615384615385,0.2747001254432794,0.08199669941587434,5.118873147386347,0.14899005201809648,0.5714906911174996,0.7849354854976492
